Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type
13.06,Regular,0.098,Dairy,135.29,2009,Medium,Tier 2,Supermarket Type2
10.17,No Sugar,0.031,Household,156.69,2009,Medium,Tier 2,Supermarket Type2
10.2,No Sugar,0.016,Health and Hygiene,116.99,1998,Small,Tier 3,Food Mart
15.45,Regular,0.012,Frozen Foods,191.07,1999,Medium,Tier 1,Departmental Store
10.44,No Sugar,0.1,Household,56.01,1998,Small,Tier 3,Food Mart
13.73,Regular,0.07,Breakfast,142.45,2009,Medium,Tier 2,Supermarket Type2
15.47,Low Sugar,0.029,Soft Drinks,175.2,1987,High,Tier 2,Supermarket Type1
12.16,Regular,0.03,Soft Drinks,158.08,2009,Medium,Tier 2,Supermarket Type2
12.02,Low Sugar,0.161,Frozen Foods,106.83,1987,High,Tier 2,Supermarket Type1
12.81,Low Sugar,0.031,Fruits and Vegetables,168.24,2009,Medium,Tier 2,Supermarket Type2
13.55,Low Sugar,0.029,Fruits and Vegetables,147.92,2009,Medium,Tier 2,Supermarket Type2
12.15,Regular,0.047,Frozen Foods,140.69,2009,Medium,Tier 2,Supermarket Type2
15.8,Low Sugar,0.05,Snack Foods,177.27,1987,High,Tier 2,Supermarket Type1
11.93,Low Sugar,0.076,Fruits and Vegetables,143.45,2009,Medium,Tier 2,Supermarket Type2
11.2,Regular,0.014,Hard Drinks,181.94,2009,Medium,Tier 2,Supermarket Type2
16.3,Low Sugar,0.071,Dairy,154.75,1999,Medium,Tier 1,Departmental Store
12.23,Low Sugar,0.058,Seafood,164.15,2009,Medium,Tier 2,Supermarket Type2
10.41,Low Sugar,0.021,Canned,151.97,2009,Medium,Tier 2,Supermarket Type2
8.05,No Sugar,0.04,Health and Hygiene,67.14,1998,Small,Tier 3,Food Mart
10.46,No Sugar,0.047,Health and Hygiene,97.59,1998,Small,Tier 3,Food Mart
14.57,Low Sugar,0.06,Snack Foods,161.93,1987,High,Tier 2,Supermarket Type1
10.57,Low Sugar,0.042,Meat,125.25,2009,Medium,Tier 2,Supermarket Type2
9.66,No Sugar,0.062,Health and Hygiene,178.03,2009,Medium,Tier 2,Supermarket Type2
13.53,No Sugar,0.023,Household,196.65,1987,High,Tier 2,Supermarket Type1
7.59,Regular,0.191,Fruits and Vegetables,176.98,2009,Medium,Tier 2,Supermarket Type2
19.12,Regular,0.056,Meat,193.68,1999,Medium,Tier 1,Departmental Store
17.5,Regular,0.178,Meat,192.22,1999,Medium,Tier 1,Departmental Store
12.47,Regular,0.064,Meat,156.27,2009,Medium,Tier 2,Supermarket Type2
15.39,Low Sugar,0.053,Fruits and Vegetables,137.79,2009,Medium,Tier 2,Supermarket Type2
14.17,Regular,0.064,Fruits and Vegetables,142.1,2009,Medium,Tier 2,Supermarket Type2
11.94,Low Sugar,0.019,Dairy,136.14,2009,Medium,Tier 2,Supermarket Type2
9.68,Low Sugar,0.16,Dairy,137.65,2009,Medium,Tier 2,Supermarket Type2
15.82,Low Sugar,0.031,Fruits and Vegetables,162.76,1999,Medium,Tier 1,Departmental Store
11.75,Regular,0.031,Snack Foods,61.57,1998,Small,Tier 3,Food Mart
13.11,Low Sugar,0.106,Breakfast,160.46,2009,Medium,Tier 2,Supermarket Type2
13.08,No Sugar,0.019,Health and Hygiene,97.93,2009,Medium,Tier 2,Supermarket Type2
13.39,Regular,0.04,Fruits and Vegetables,196.18,1987,High,Tier 2,Supermarket Type1
14.26,Regular,0.026,Canned,149.2,2009,Medium,Tier 2,Supermarket Type2
14.8,Low Sugar,0.055,Snack Foods,130.36,2009,Medium,Tier 2,Supermarket Type2
12.69,Regular,0.076,Dairy,155.65,2009,Medium,Tier 2,Supermarket Type2
11.44,No Sugar,0.057,Household,181.96,2009,Medium,Tier 2,Supermarket Type2
14.83,No Sugar,0.081,Health and Hygiene,114.04,2009,Medium,Tier 2,Supermarket Type2
13.42,No Sugar,0.026,Health and Hygiene,107.01,2009,Medium,Tier 2,Supermarket Type2
11.56,No Sugar,0.098,Household,122.14,2009,Medium,Tier 2,Supermarket Type2
13.05,Regular,0.071,Fruits and Vegetables,133.57,2009,Medium,Tier 2,Supermarket Type2
12.96,Low Sugar,0.076,Snack Foods,149.13,2009,Medium,Tier 2,Supermarket Type2
14.66,Low Sugar,0.14,Canned,153.72,1987,High,Tier 2,Supermarket Type1
13.51,Low Sugar,0.212,Snack Foods,143.48,2009,Medium,Tier 2,Supermarket Type2
12.77,Low Sugar,0.046,Starchy Foods,165.71,2009,Medium,Tier 2,Supermarket Type2
11.69,Regular,0.076,Canned,132.88,2009,Medium,Tier 2,Supermarket Type2
12.73,Low Sugar,0.028,Meat,166.77,2009,Medium,Tier 2,Supermarket Type2
12.25,Regular,0.031,Meat,102.71,1987,High,Tier 2,Supermarket Type1
13.47,Low Sugar,0.096,Baking Goods,145.93,2009,Medium,Tier 2,Supermarket Type2
12.5,Regular,0.081,Canned,135.26,2009,Medium,Tier 2,Supermarket Type2
12.97,Regular,0.036,Snack Foods,157.12,2009,Medium,Tier 2,Supermarket Type2
10.46,Low Sugar,0.077,Dairy,107.28,1998,Small,Tier 3,Food Mart
13.91,Low Sugar,0.098,Baking Goods,186.73,1987,High,Tier 2,Supermarket Type1
11.3,Low Sugar,0.022,Dairy,133.51,2009,Medium,Tier 2,Supermarket Type2
12.11,Regular,0.027,Hard Drinks,106.65,2009,Medium,Tier 2,Supermarket Type2
14.25,No Sugar,0.009,Household,194.45,1987,High,Tier 2,Supermarket Type1
14.28,Low Sugar,0.121,Frozen Foods,152.84,2009,Medium,Tier 2,Supermarket Type2
8.43,Low Sugar,0.124,Snack Foods,128.61,1998,Small,Tier 3,Food Mart
10.84,No Sugar,0.103,Health and Hygiene,162.99,2009,Medium,Tier 2,Supermarket Type2
14.04,No Sugar,0.167,Health and Hygiene,145.76,2009,Medium,Tier 2,Supermarket Type2
10.77,Low Sugar,0.016,Canned,136.99,2009,Medium,Tier 2,Supermarket Type2
9.16,Low Sugar,0.047,Dairy,123.95,1998,Small,Tier 3,Food Mart
11.31,Regular,0.049,Baking Goods,168.4,2009,Medium,Tier 2,Supermarket Type2
15.76,Regular,0.128,Soft Drinks,177.51,1987,High,Tier 2,Supermarket Type1
11.52,No Sugar,0.019,Household,101.37,1998,Small,Tier 3,Food Mart
5.91,Regular,0.159,Starchy Foods,90.33,1998,Small,Tier 3,Food Mart
9.63,Low Sugar,0.071,Breads,197.66,2009,Medium,Tier 2,Supermarket Type2
9.72,Regular,0.029,Meat,142.16,2009,Medium,Tier 2,Supermarket Type2
8.05,Regular,0.039,Baking Goods,103.58,1998,Small,Tier 3,Food Mart
14.6,Low Sugar,0.015,Baking Goods,147.56,2009,Medium,Tier 2,Supermarket Type2
8.43,Low Sugar,0.053,Breakfast,110.29,1998,Small,Tier 3,Food Mart
11.65,Regular,0.017,Baking Goods,181.67,2009,Medium,Tier 2,Supermarket Type2
14.89,Low Sugar,0.088,Baking Goods,200.39,1999,Medium,Tier 1,Departmental Store
9.62,Low Sugar,0.103,Meat,134.38,2009,Medium,Tier 2,Supermarket Type2
13.88,reg,0.077,Snack Foods,163.08,1987,High,Tier 2,Supermarket Type1
11.64,Low Sugar,0.097,Snack Foods,78.01,1998,Small,Tier 3,Food Mart
10.35,Regular,0.026,Dairy,112.74,1998,Small,Tier 3,Food Mart
14.42,Low Sugar,0.073,Seafood,154.35,1987,High,Tier 2,Supermarket Type1
12.89,Low Sugar,0.024,Frozen Foods,129.58,2009,Medium,Tier 2,Supermarket Type2
14.54,Regular,0.055,Fruits and Vegetables,147.53,2009,Medium,Tier 2,Supermarket Type2
13.94,No Sugar,0.06,Household,171.91,1999,Medium,Tier 1,Departmental Store
10.57,No Sugar,0.042,Health and Hygiene,102.9,1998,Small,Tier 3,Food Mart
13.79,Low Sugar,0.025,Baking Goods,116.44,2009,Medium,Tier 2,Supermarket Type2
13.91,Low Sugar,0.076,Fruits and Vegetables,157.43,2009,Medium,Tier 2,Supermarket Type2
10.24,Regular,0.059,Meat,115.23,1998,Small,Tier 3,Food Mart
9.96,Regular,0.047,Canned,118.1,1998,Small,Tier 3,Food Mart
11.42,No Sugar,0.036,Health and Hygiene,131.28,2009,Medium,Tier 2,Supermarket Type2
11.77,Low Sugar,0.091,Breads,147.67,2009,Medium,Tier 2,Supermarket Type2
14.66,Regular,0.023,Snack Foods,171.91,1999,Medium,Tier 1,Departmental Store
13.61,Low Sugar,0.255,Frozen Foods,184.29,1999,Medium,Tier 1,Departmental Store
10.76,Low Sugar,0.068,Meat,135.43,2009,Medium,Tier 2,Supermarket Type2
12.42,Regular,0.091,Breakfast,141.97,2009,Medium,Tier 2,Supermarket Type2
14.77,No Sugar,0.169,Others,178.74,1987,High,Tier 2,Supermarket Type1
13.84,Regular,0.056,Meat,98.99,2009,Medium,Tier 2,Supermarket Type2
8.8,No Sugar,0.047,Household,107.05,1998,Small,Tier 3,Food Mart
9.19,Low Sugar,0.116,Frozen Foods,123.58,1998,Small,Tier 3,Food Mart
12.97,No Sugar,0.091,Household,165.31,1999,Medium,Tier 1,Departmental Store
13.81,Low Sugar,0.058,Snack Foods,160.24,2009,Medium,Tier 2,Supermarket Type2
16.46,No Sugar,0.071,Health and Hygiene,104.02,2009,Medium,Tier 2,Supermarket Type2
7.12,Regular,0.227,Fruits and Vegetables,94.79,1998,Small,Tier 3,Food Mart
12.84,No Sugar,0.17,Health and Hygiene,126.01,2009,Medium,Tier 2,Supermarket Type2
13.04,Low Sugar,0.044,Baking Goods,143.05,2009,Medium,Tier 2,Supermarket Type2
13.46,No Sugar,0.138,Health and Hygiene,143.31,2009,Medium,Tier 2,Supermarket Type2
9.84,No Sugar,0.093,Others,146.17,2009,Medium,Tier 2,Supermarket Type2
11.95,Regular,0.112,Canned,146.29,2009,Medium,Tier 2,Supermarket Type2
12.41,Low Sugar,0.028,Dairy,171.25,2009,Medium,Tier 2,Supermarket Type2
16.2,Low Sugar,0.142,Snack Foods,149.65,1999,Medium,Tier 1,Departmental Store
14.54,Low Sugar,0.027,Dairy,201.84,1999,Medium,Tier 1,Departmental Store
10.67,Low Sugar,0.078,Soft Drinks,109.32,1998,Small,Tier 3,Food Mart
10.61,No Sugar,0.065,Household,126.3,2009,Medium,Tier 2,Supermarket Type2
11.01,No Sugar,0.013,Household,143.38,2009,Medium,Tier 2,Supermarket Type2
11.87,No Sugar,0.073,Health and Hygiene,164.44,2009,Medium,Tier 2,Supermarket Type2
13.61,Low Sugar,0.022,Baking Goods,131.96,2009,Medium,Tier 2,Supermarket Type2
10.92,No Sugar,0.142,Health and Hygiene,184.73,1999,Medium,Tier 1,Departmental Store
11.44,No Sugar,0.029,Household,149.79,2009,Medium,Tier 2,Supermarket Type2
14.85,Low Sugar,0.047,Dairy,138.58,2009,Medium,Tier 2,Supermarket Type2
11.07,Regular,0.075,Frozen Foods,144.46,2009,Medium,Tier 2,Supermarket Type2
11.67,No Sugar,0.039,Household,167.34,2009,Medium,Tier 2,Supermarket Type2
9.92,Regular,0.039,Snack Foods,113.89,1998,Small,Tier 3,Food Mart
8.69,No Sugar,0.053,Health and Hygiene,127.49,1998,Small,Tier 3,Food Mart
11.15,Low Sugar,0.096,Fruits and Vegetables,156.0,2009,Medium,Tier 2,Supermarket Type2
12.43,Low Sugar,0.133,Fruits and Vegetables,137.6,2009,Medium,Tier 2,Supermarket Type2
12.6,Regular,0.073,Fruits and Vegetables,146.25,2009,Medium,Tier 2,Supermarket Type2
13.07,Low Sugar,0.063,Snack Foods,150.55,2009,Medium,Tier 2,Supermarket Type2
11.89,reg,0.055,Soft Drinks,80.76,1998,Small,Tier 3,Food Mart
13.83,Low Sugar,0.018,Canned,166.21,1987,High,Tier 2,Supermarket Type1
9.05,Low Sugar,0.073,Fruits and Vegetables,106.63,1998,Small,Tier 3,Food Mart
8.51,No Sugar,0.1,Household,121.64,1998,Small,Tier 3,Food Mart
12.3,No Sugar,0.054,Health and Hygiene,119.13,2009,Medium,Tier 2,Supermarket Type2
10.98,Low Sugar,0.168,Meat,115.45,1987,High,Tier 2,Supermarket Type1
12.89,Regular,0.047,Soft Drinks,151.99,2009,Medium,Tier 2,Supermarket Type2
15.82,Regular,0.141,Meat,148.73,1999,Medium,Tier 1,Departmental Store
10.9,Low Sugar,0.061,Meat,150.45,2009,Medium,Tier 2,Supermarket Type2
15.26,Low Sugar,0.035,Dairy,162.84,1999,Medium,Tier 1,Departmental Store
13.84,Low Sugar,0.055,Fruits and Vegetables,122.2,2009,Medium,Tier 2,Supermarket Type2
15.57,Low Sugar,0.128,Breads,161.96,1999,Medium,Tier 1,Departmental Store
13.47,No Sugar,0.108,Health and Hygiene,141.79,2009,Medium,Tier 2,Supermarket Type2
11.56,Low Sugar,0.055,Meat,153.11,2009,Medium,Tier 2,Supermarket Type2
11.19,No Sugar,0.038,Health and Hygiene,159.95,2009,Medium,Tier 2,Supermarket Type2
11.19,No Sugar,0.077,Others,89.56,1998,Small,Tier 3,Food Mart
11.96,Low Sugar,0.088,Fruits and Vegetables,156.95,2009,Medium,Tier 2,Supermarket Type2
14.06,Low Sugar,0.013,Dairy,134.94,2009,Medium,Tier 2,Supermarket Type2
10.15,Low Sugar,0.121,Seafood,98.69,1998,Small,Tier 3,Food Mart
11.22,Regular,0.071,Frozen Foods,159.34,2009,Medium,Tier 2,Supermarket Type2
7.79,Regular,0.035,Canned,118.85,1998,Small,Tier 3,Food Mart
16.96,Regular,0.08,Dairy,150.74,1987,High,Tier 2,Supermarket Type1
12.47,Low Sugar,0.174,Meat,157.88,2009,Medium,Tier 2,Supermarket Type2
14.43,Regular,0.016,Fruits and Vegetables,149.64,2009,Medium,Tier 2,Supermarket Type2
12.13,Low Sugar,0.124,Fruits and Vegetables,133.93,2009,Medium,Tier 2,Supermarket Type2
10.25,Low Sugar,0.051,Snack Foods,156.28,2009,Medium,Tier 2,Supermarket Type2
11.23,Regular,0.067,Snack Foods,148.57,2009,Medium,Tier 2,Supermarket Type2
15.61,Regular,0.034,Snack Foods,171.59,1987,High,Tier 2,Supermarket Type1
12.63,Low Sugar,0.161,Breakfast,191.98,1999,Medium,Tier 1,Departmental Store
11.65,Regular,0.119,Meat,130.74,2009,Medium,Tier 2,Supermarket Type2
11.37,Low Sugar,0.046,Hard Drinks,133.52,2009,Medium,Tier 2,Supermarket Type2
11.13,Regular,0.105,Fruits and Vegetables,126.25,2009,Medium,Tier 2,Supermarket Type2
11.9,Low Sugar,0.136,Snack Foods,184.5,1987,High,Tier 2,Supermarket Type1
15.72,No Sugar,0.028,Health and Hygiene,147.45,1987,High,Tier 2,Supermarket Type1
14.95,Low Sugar,0.041,Snack Foods,185.28,1987,High,Tier 2,Supermarket Type1
12.84,Regular,0.106,Snack Foods,148.22,2009,Medium,Tier 2,Supermarket Type2
16.01,Low Sugar,0.053,Snack Foods,219.19,1999,Medium,Tier 1,Departmental Store
15.62,Low Sugar,0.014,Starchy Foods,169.94,1987,High,Tier 2,Supermarket Type1
6.65,Low Sugar,0.021,Dairy,127.04,1998,Small,Tier 3,Food Mart
17.53,Regular,0.058,Frozen Foods,193.39,1999,Medium,Tier 1,Departmental Store
15.94,No Sugar,0.121,Household,179.68,1987,High,Tier 2,Supermarket Type1
13.08,Low Sugar,0.136,Hard Drinks,157.84,2009,Medium,Tier 2,Supermarket Type2
13.24,No Sugar,0.168,Others,133.2,2009,Medium,Tier 2,Supermarket Type2
15.92,Low Sugar,0.045,Canned,191.88,1999,Medium,Tier 1,Departmental Store
13.83,Low Sugar,0.016,Dairy,157.59,2009,Medium,Tier 2,Supermarket Type2
12.99,Low Sugar,0.026,Snack Foods,126.49,2009,Medium,Tier 2,Supermarket Type2
11.03,Low Sugar,0.032,Soft Drinks,153.34,2009,Medium,Tier 2,Supermarket Type2
14.14,Regular,0.22,Meat,139.43,2009,Medium,Tier 2,Supermarket Type2
14.79,No Sugar,0.113,Health and Hygiene,181.26,1987,High,Tier 2,Supermarket Type1
13.05,Regular,0.015,Frozen Foods,145.06,2009,Medium,Tier 2,Supermarket Type2
12.79,Low Sugar,0.079,Fruits and Vegetables,156.49,2009,Medium,Tier 2,Supermarket Type2
12.71,Low Sugar,0.013,Fruits and Vegetables,186.96,1999,Medium,Tier 1,Departmental Store
13.42,Low Sugar,0.038,Fruits and Vegetables,145.67,2009,Medium,Tier 2,Supermarket Type2
17.72,Low Sugar,0.086,Snack Foods,192.25,1999,Medium,Tier 1,Departmental Store
10.04,No Sugar,0.063,Household,147.01,2009,Medium,Tier 2,Supermarket Type2
10.74,Regular,0.12,Canned,139.39,2009,Medium,Tier 2,Supermarket Type2
14.28,Regular,0.121,Fruits and Vegetables,159.61,1987,High,Tier 2,Supermarket Type1
11.43,Low Sugar,0.174,Frozen Foods,162.44,2009,Medium,Tier 2,Supermarket Type2
11.47,No Sugar,0.104,Household,104.69,1987,High,Tier 2,Supermarket Type1
11.03,Regular,0.185,Frozen Foods,183.66,2009,Medium,Tier 2,Supermarket Type2
13.41,No Sugar,0.078,Health and Hygiene,150.61,2009,Medium,Tier 2,Supermarket Type2
11.66,Low Sugar,0.12,Hard Drinks,106.36,1987,High,Tier 2,Supermarket Type1
13.06,Low Sugar,0.127,Frozen Foods,119.84,2009,Medium,Tier 2,Supermarket Type2
11.48,Low Sugar,0.099,Frozen Foods,159.91,2009,Medium,Tier 2,Supermarket Type2
11.24,No Sugar,0.071,Health and Hygiene,116.91,2009,Medium,Tier 2,Supermarket Type2
6.96,No Sugar,0.153,Others,59.22,1998,Small,Tier 3,Food Mart
12.79,Low Sugar,0.048,Canned,167.19,2009,Medium,Tier 2,Supermarket Type2
10.52,No Sugar,0.081,Household,152.17,2009,Medium,Tier 2,Supermarket Type2
12.59,No Sugar,0.041,Household,207.04,1987,High,Tier 2,Supermarket Type1
8.72,Low Sugar,0.026,Fruits and Vegetables,102.83,1998,Small,Tier 3,Food Mart
13.69,Low Sugar,0.028,Snack Foods,169.01,1987,High,Tier 2,Supermarket Type1
11.43,Low Sugar,0.138,Breads,143.95,2009,Medium,Tier 2,Supermarket Type2
14.52,Low Sugar,0.163,Hard Drinks,120.86,2009,Medium,Tier 2,Supermarket Type2
13.81,Regular,0.044,Dairy,208.17,1987,High,Tier 2,Supermarket Type1
12.3,No Sugar,0.081,Household,144.8,2009,Medium,Tier 2,Supermarket Type2
14.51,Low Sugar,0.041,Dairy,139.17,2009,Medium,Tier 2,Supermarket Type2
9.91,Low Sugar,0.059,Dairy,165.33,1999,Medium,Tier 1,Departmental Store
12.6,Regular,0.031,Dairy,203.64,1987,High,Tier 2,Supermarket Type1
10.76,Low Sugar,0.147,Fruits and Vegetables,145.21,2009,Medium,Tier 2,Supermarket Type2
10.92,Low Sugar,0.053,Fruits and Vegetables,146.88,2009,Medium,Tier 2,Supermarket Type2
10.95,Low Sugar,0.013,Dairy,111.91,1987,High,Tier 2,Supermarket Type1
11.99,Low Sugar,0.013,Dairy,138.93,2009,Medium,Tier 2,Supermarket Type2
11.9,Low Sugar,0.016,Snack Foods,137.91,2009,Medium,Tier 2,Supermarket Type2
11.67,Low Sugar,0.118,Canned,179.54,2009,Medium,Tier 2,Supermarket Type2
9.45,No Sugar,0.033,Household,118.24,1998,Small,Tier 3,Food Mart
16.77,Low Sugar,0.02,Meat,171.19,1999,Medium,Tier 1,Departmental Store
11.91,Low Sugar,0.14,Frozen Foods,110.62,2009,Medium,Tier 2,Supermarket Type2
9.37,Low Sugar,0.026,Meat,175.97,2009,Medium,Tier 2,Supermarket Type2
16.2,Regular,0.059,Meat,108.73,2009,Medium,Tier 2,Supermarket Type2
10.48,No Sugar,0.023,Others,108.81,1998,Small,Tier 3,Food Mart
13.74,No Sugar,0.061,Household,172.15,1999,Medium,Tier 1,Departmental Store
13.57,Regular,0.017,Hard Drinks,164.9,1987,High,Tier 2,Supermarket Type1
9.14,No Sugar,0.082,Health and Hygiene,131.77,1987,High,Tier 2,Supermarket Type1
11.41,Low Sugar,0.058,Snack Foods,136.52,2009,Medium,Tier 2,Supermarket Type2
8.46,Low Sugar,0.104,Breads,112.16,1998,Small,Tier 3,Food Mart
9.21,Low Sugar,0.017,Fruits and Vegetables,127.47,1998,Small,Tier 3,Food Mart
8.52,Low Sugar,0.07,Fruits and Vegetables,142.95,1987,High,Tier 2,Supermarket Type1
10.33,Regular,0.03,Snack Foods,177.97,2009,Medium,Tier 2,Supermarket Type2
7.14,No Sugar,0.034,Health and Hygiene,82.6,1998,Small,Tier 3,Food Mart
14.61,Low Sugar,0.111,Canned,152.39,1987,High,Tier 2,Supermarket Type1
14.38,Low Sugar,0.042,Fruits and Vegetables,181.63,1987,High,Tier 2,Supermarket Type1
11.11,Regular,0.019,Frozen Foods,112.91,1987,High,Tier 2,Supermarket Type1
11.66,Low Sugar,0.031,Frozen Foods,125.99,2009,Medium,Tier 2,Supermarket Type2
11.12,No Sugar,0.021,Household,120.62,2009,Medium,Tier 2,Supermarket Type2
12.28,Low Sugar,0.039,Dairy,126.06,2009,Medium,Tier 2,Supermarket Type2
12.46,Low Sugar,0.115,Dairy,153.71,2009,Medium,Tier 2,Supermarket Type2
12.78,Low Sugar,0.121,Soft Drinks,120.0,2009,Medium,Tier 2,Supermarket Type2
10.03,Low Sugar,0.038,Snack Foods,111.68,1998,Small,Tier 3,Food Mart
7.68,Low Sugar,0.05,Snack Foods,67.01,1998,Small,Tier 3,Food Mart
13.99,No Sugar,0.076,Household,71.99,1998,Small,Tier 3,Food Mart
11.07,Low Sugar,0.034,Dairy,156.4,2009,Medium,Tier 2,Supermarket Type2
12.74,Regular,0.033,Baking Goods,168.17,2009,Medium,Tier 2,Supermarket Type2
20.65,Low Sugar,0.106,Dairy,223.98,1999,Medium,Tier 1,Departmental Store
12.13,Regular,0.047,Frozen Foods,135.78,2009,Medium,Tier 2,Supermarket Type2
10.31,Low Sugar,0.01,Baking Goods,164.34,2009,Medium,Tier 2,Supermarket Type2
11.08,reg,0.015,Snack Foods,143.07,2009,Medium,Tier 2,Supermarket Type2
15.99,Regular,0.046,Canned,121.52,2009,Medium,Tier 2,Supermarket Type2
13.22,Low Sugar,0.027,Snack Foods,150.63,2009,Medium,Tier 2,Supermarket Type2
13.4,Low Sugar,0.041,Canned,139.02,2009,Medium,Tier 2,Supermarket Type2
14.43,No Sugar,0.099,Household,160.51,1987,High,Tier 2,Supermarket Type1
12.32,Low Sugar,0.024,Canned,128.51,2009,Medium,Tier 2,Supermarket Type2
15.3,Low Sugar,0.087,Dairy,199.37,1999,Medium,Tier 1,Departmental Store
14.62,Low Sugar,0.038,Dairy,231.55,1999,Medium,Tier 1,Departmental Store
14.74,Low Sugar,0.069,Hard Drinks,162.03,1999,Medium,Tier 1,Departmental Store
10.59,Low Sugar,0.089,Snack Foods,174.27,2009,Medium,Tier 2,Supermarket Type2
12.51,Regular,0.021,Snack Foods,142.41,2009,Medium,Tier 2,Supermarket Type2
13.18,Low Sugar,0.067,Snack Foods,136.11,2009,Medium,Tier 2,Supermarket Type2
9.98,Low Sugar,0.057,Fruits and Vegetables,103.51,1998,Small,Tier 3,Food Mart
10.9,Low Sugar,0.076,Frozen Foods,115.99,1987,High,Tier 2,Supermarket Type1
13.04,Low Sugar,0.015,Dairy,122.08,2009,Medium,Tier 2,Supermarket Type2
8.58,Regular,0.166,Dairy,113.04,1998,Small,Tier 3,Food Mart
14.36,Regular,0.055,Canned,181.23,1987,High,Tier 2,Supermarket Type1
12.98,Low Sugar,0.142,Fruits and Vegetables,178.51,1987,High,Tier 2,Supermarket Type1
16.17,Regular,0.022,Fruits and Vegetables,160.29,1987,High,Tier 2,Supermarket Type1
11.97,Low Sugar,0.052,Starchy Foods,150.67,2009,Medium,Tier 2,Supermarket Type2
15.19,Low Sugar,0.022,Canned,208.18,1999,Medium,Tier 1,Departmental Store
11.46,Regular,0.033,Canned,111.72,1987,High,Tier 2,Supermarket Type1
9.44,No Sugar,0.035,Household,122.54,1998,Small,Tier 3,Food Mart
12.69,Low Sugar,0.018,Breakfast,136.64,1999,Medium,Tier 1,Departmental Store
16.83,Low Sugar,0.041,Frozen Foods,175.24,1999,Medium,Tier 1,Departmental Store
11.14,Low Sugar,0.165,Snack Foods,94.94,1998,Small,Tier 3,Food Mart
16.48,No Sugar,0.011,Household,155.02,1987,High,Tier 2,Supermarket Type1
12.68,reg,0.032,Starchy Foods,133.34,2009,Medium,Tier 2,Supermarket Type2
